x	y	z	score	incomprehensibleMarkings	offensiveMarkings
women	men	I'm bisexual.	[1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,5,5]	0	0
men	pizza	traditional	[1,1,2,2,2,2,3,3,3]	0	0
holocaust	vin diesel movies	fast & furious	[1,1,2,2,3,3,3,3,4,4,4,5]	0	1
women	music stores	obsolete since the Internet	[1,1,1,1,1,2,2,2,2,2,2,2,2,3,4,4,5,5]	0	0
sex	cookie jars	a blue monster on TV wants in	[1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,5]	0	0
Sex	Pasta	Hard and saucy	[1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5]	0	0
money problems	unicorns	non-existent	[1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5]	0	0
president	coffee	physically unable to tweet.	[1,1,2,3,4,4,4,4,4,4,5,5,5]	0	0
women	wine	6 years old and locked in a cellar	[1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,5]	0	0
women	cheese	not running	[1,1,1,1,2,2,2,2,3,3,3,3,4,4,5,5]	1	0
women	flowers	plastic	[2,3,3,3,4,4,4,4,4]	0	0
women	non-sequiturs	banana	[1,1,1,3,3,3,4,4,4,4,4,4,5]	1	0
men	remote	lightening when I push their buttons	[1,1,2,2,2,3,3,4,4,4,4,4]	0	1
nursing aids	hair ties	non-breakable	[1,1,1,1,1,1,1,2,2,2,2,2,2,3,3]	1	0
sex	rector election	dominated by Torfs	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5]	1	0
women	coasters	broken	[1,1,1,1,1,2,2,2,3,3,3,4]	1	0
women	pox	small	[2,2,3,3,3,3,3,4,5,5]	1	0
men	cake	looks good, but absolutely terrible for me	[1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5]	0	0
politicians	Jews	funny hair and taking it out on the Muslims	[1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,4,4]	0	0
women	square roots	if they're under 16, I do them in my head	[1,2,2,2,3,4,4,4,4,5,5,5,5,5,5,5]	0	1
women	coffee	free	[1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4]	0	0
women	builders	experienced in operating heavy machinery	[1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5]	0	0
men	check books	the bank gives them away	[1,2,2,2,2,3,3,3,3]	1	0
compliments	jokes	I don't get them	[1,2,2,2,3,3,3,4,4,4,4,5,5,5,5,5,5,5]	0	0
coffee	women	complete with nutrition, value and convenience	[1,1,1,2,2,2,2,2,2,2,3,3,3,4,5]	1	0
zip zop	zoo-ba-doo	uttered by Bill Cosby	[1,1,2,2,2,2,2,2,3,3,5,5]	1	0
new year	Jews	countdown to zero	[1,1,1,2,2,2,4,4]	0	1
men	dad	always there for me and nice	[1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4,5]	0	0
bologna	martinis	dirty	[1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3]	1	0
vases	one night stands	expendable	[1,1,2,2,2,2,2,3,3,3,3,4,5]	1	0
people	portions	generous	[1,1,1,1,2,2,2,2,2,2,3,3,3,5]	0	0
sex	police officers	with body cams	[1,1,2,3,3,4,4,4,4,5]	0	1
chickens	eggs	suspended in a state of philosophical inquiry	[1,1,3,3,4,4,4,4,4,4,4,4,5,5,5,5]	1	0
lovers	soldiers	well-trained and slow to shoot	[3,3,4,4,4,4,5]	1	0
women	chocolate chip cookies	I don't like chocolate chip cookies	[1,1,2,2,2,2,2,2,3,3,4,4,4,5]	0	0
airline food	baby jokes	tasteless	[1,2,2,3,3,3,3,3,3,3,4,4,4,4,5]	0	0
colleagues	detail	considerable	[1,1,2,2,2,2,2,2]	1	0
liver	liquor	hard	[1,1,2,2,2,2,2,3,3,3,3,3]	1	0
women	file system	FAT and 16	[1,1,2,2,4,4,4,5,5,5]	1	0
men	coffee	hot	[1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5]	0	0
cat	other cat	I just really love cats!	[1,1,1,1,1,2,2,2,3,3,4,4,4,5,5,5,5,5]	0	0
people	coffee	I don't like coffee	[1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5]	0	0
stamps	ladies	licked, stuck, and out of my life	[2,2,3,3,3,4,4,4,4]	0	1
women	system administrators	on call	[1,2,2,2,3,3,4,4,4,4,4,5]	1	0
partners	threads	green	[1,1,1,2,2,2,2,2,2,2,3,3]	1	0
partners	play-doh	soft and moldable	[1,2,3,3,3,3,3,4,4,5]	1	0
campfires	Democratic Socialists	burny	[1,2,3,4,4,4,4,4,5]	1	0
women	ambulances	coming very quickly and loudly	[2,4,4,4,5,5,5,5]	0	0
women	patients	wearing a hospital gown	[1,1,2,2,3,3,3,3,4,4]	1	0
jokes	jokes	redundant	[1,1,2,2,2,2,3,3,4,4,4,4,4,4,5,5,5,5]	0	0
dog	gnomes	put away in the garden	[1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4]	0	0
ex	street lights	living on the side-walk	[1,2,2,3,4,4,4,4,4,4]	1	0
cat	cat	I just really love cats	[1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,5,5,5]	0	0
mothers	socks	a new pair every Christmas	[1,1,1,1,2,2,2,3,3,3,3,4,4,4,5,5]	1	0
men	tofu	extra firm	[1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,5,5]	0	0
dad	shaving cream	alcohol-free	[1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,5,5,5]	0	0
boyfriends	sitcom shows	trite but lovable.	[1,2,2,3,3,3,4,4,4,5]	1	0
US president	90's movies	clueless	[1,3,3,3,4,4,4,4,5,5,5]	1	0
women	beer	not too yeasty	[1,2,3,3,3,4,4,4,5,5]	1	0
coffee	men	black	[1,1,1,2,2,2,2,2,2,2,3,3,4,4,5]	0	0
phone	women	plus size and black	[1,1,2,2,2,3,3,3,3,4,4,4,4,4,5]	0	0
men	coffee	thrown out of my car window at 75mph for being too weak	[1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,5]	0	0
women	coffee	filled with booze	[1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5]	0	0
brothers	eyes	I lost both of them in the war	[2,2,3,3,4,4,4,4,5,5]	0	1
ice	dreams	crushed	[3,3,3,4,4,5,5,5,5]	0	0
pizza	people	saucy and cheesy	[1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,5,5]	0	0
sex daily	dexi lyas shit	dyl isxes ALLEE	[1,1,1,2,2,3,3,3]	1	0
women	computer	fast	[1,1,2,2,2,2,2,2,3,3,3,5]	1	0
women	coffee	corner of the street, and I'm not willing to pay more than €2.50	[1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,5]	0	0
coffee	women	ground up and in the freezer	[1,1,1,2,2,3,3,4,4,4,4,4,4,4,5]	0	0
women	judges	getting me rock hard when they tell me my punishment	[1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,5,5,5]	0	0
women	coffee	hand picked by migrant workers	[1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5]	0	0
weapons	music	heavy and metal	[1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4]	0	0
salmon	Jews	smoked	[1,1,1,1,1,2,2,2,2,2,2,3,4,4,5,5]	0	1
body	paper	ripped	[1,2,2,2,3,3,3,3,3,4,4,4,4]	1	0
coffee	women	excessively hot, done in 3 minutes and in my lap when I least expect it	[2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5]	0	0
baristas	tailors	rapidly becoming irrelevant	[2,2,2,3,3,3,3,3,4,5]	1	0
nipples	money	out of reach of my girlfriends claws	[1,1,1,1,2,2,2,2,2,3,3,3,4,4,4,4,5,5]	0	0
men	London Underground	minding the gap	[1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,5]	0	0
coffee	Hillary Clinton	I don't like coffee	[1,1,1,1,2,2,2,2,2,3,3,3,3,4,4,5,5,5]	0	0
coffee	dates	black  with two big mellow-cakes	[1,2,2,2,3,3,3,3,4,4]	1	0
women	men	androgynous	[1,2,2,2,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5]	0	0
martini	humour	dry	[2,3,3,3,3,3,3,4,5]	0	0
women	candles	when they are burnt out, you can just buy some new ones	[1,1,2,2,2,2,3,4,4,4,5,5]	0	1
enemies	amputees	unarmed	[1,2,2,2,2,3,4,4,4,4,4,5,5,5,5]	0	0
penis	bullets	inside of other people	[3,3,3]	0	0
abortions	therapy	cheap, discrete and following date rape	[1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,5]	0	0
women	Xbox One	gets turned on by my voice and doesn't want to be sold off to my friends	[1,1,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,5]	0	0
dad	estate	real	[1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5,5]	0	0
men	meat	not boneless	[1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4]	0	0
men	women	I'm bi	[2,3,4,4,4]	0	0
sex	butter	from goats	[1,1,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5]	0	0
orgasms	alcohol	strong, wet and tiring	[1,1,1,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5]	0	0
girlfriend	numbers	real	[1,1,1,2,2,2,3,3,3,3,3,3,4,4,5]	0	0
dogs	trees	ruff bark	[1,2,2,2,2,2,3,3,4,4]	1	0
women	motorcycles	30 years old and full of problems	[1,1,1,2,2,2,3,3,3,3,3,3,3,4,5]	0	0
men	coffee	every morning	[2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5]	0	0
coffee	friend, the Greek mythological beast woman	AnnHydrous	[1,1,1,2,2,2,3,3,3,3,3,3,5,5,5]	1	0
sex	bottles	once I get hard, it's impossible to pull out	[1,1,1,1,2,2,2,2,2,2]	1	0
girlfriends	art galleries	I WANNA TOUCH	[1,1,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5]	0	0
lives	sex	with some ups and downs	[1,2,2,2,3,3,3,3,4]	1	0
fleshlight	napkin	in my lap under the table	[1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,5,5]	0	0
sexual partners	Disney figures	7 dwarfs	[1,1,1,1,1,2,3,3,4,4,4,4,4,5,5,5,5,5]	0	0
coffee	wife's back moles	freeze dried by professionals.	[1,2,3,3,3,3,4,4,4,4,4,4,4,5]	0	0
jokes	goofs	synonymous	[1,1,1,1,1,2,2,2,2,2,2,2,3,3,4]	0	0
state	fate	I'm a rapper who just rhymes with ate	[1,2,2,3,3,4,4,5,5]	1	0
papers	skirts	long enough to cover the material and short enough to keep it interesting	[2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5]	0	0
US Presidents	underpants	brown	[1,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5]	0	0
sex	aphrodisiacs	sex is literally an aphrodisiac	[1,1,2,2,2,2,3,3,4]	1	0
a cold one	girlfriend	literally 'a cold one'	[1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,5]	0	0
boys	sectors	bad	[1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4]	1	0
coffee	sandals	without bits of gravel in it	[1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,5]	0	0
hair	athletes	coloured	[1,2,2,2,3,4,4,4,4]	0	1
women	computers	virus-free	[1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4]	0	0
football matches	knots	tied	[1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4]	0	0
women	packets of instant oatmeal	think and knowledgeable with facts about dinosaurs	[1,1,1,2,2,2,3,3,3,3,3,3,4,4,4]	1	0
'I like my X, like I like my Y'-jokes	jokes	meta	[1,2,2,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5]	0	0
security	names	Robert'); DROP TABLE students;--	[1,1,1,1,1,1,1,1,2,2,2,3,3,3,4]	1	0
people	iPod chargers	lost	[1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,5,5,5]	0	0
body	regulations	heavy	[1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4]	0	0
encounters with men	car accidents	infrequent	[1,1,2,2,2,3,3,3,3,4,4,4,4]	1	0
women	molecules	large and unstable	[1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5]	0	0
partners	candy wrappers	disposable	[1,1,1,2,2,2,3,3,3,4,4,4]	1	0
men	tea	hot and British	[1,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5]	0	0
women	golf scores	with a slight handicap	[1,1,2,2,3,3,3,3,4,4,4,4,5,5,5]	0	1
heart	settlements	fortified	[1,1,2,2,2,2,2,2,2,2,4,4]	1	0
teeth	trees	made of wood	[1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3]	0	0
women	above ground swimming pools	cheap, wet and mostly plastic	[1,1,2,2,2,3,3,4,4,4,4,4,5,5,5]	0	1
men	windows	thinly veiled	[1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4]	1	0
women	cinema	independent and European	[1,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,5,5]	0	0
relationships	source	open	[1,1,2,2,2,3,3,3,3,4,4,4,4,4,5,5,5,5]	0	0
people	condoms	ultra-thin for maximum pleasure	[1,1,2,2,3,3,4,4,4,5,5,5]	0	1
women	timers	old	[1,1,2,2,2,3,3,3,4]	1	0
coffee	marriages	strong	[1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5]	0	0
pornographic videos	graduations	full of teens	[3,4,4,4]	0	0
coffee	sky dives	when I get to the bottom, I feel alive again	[2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5]	0	0
women	bread	full of yeast	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,4,4,5]	0	0
partners	wheels	at least 4 available at all times	[2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,5,5,5]	0	0
women	biblical movies	yelling "Jesus" the whole time	[2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4]	0	0
products	people	non-toxic	[1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5]	0	0
ex	soap	on the floor of a prison	[1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5]	0	0
women	coat hangers	supportive	[1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4]	0	0
time	authorities	a harsh mistress	[1,1,1,1,2,2,2,2,3,3,4,4,5,5]	1	0
women	weather	inconsistent	[1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5]	0	0
partners	horse riding instructors	always letting me sit on top	[2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4]	0	0
men	GRE test	hard and necessary	[1,1,2,2,2,3,3,3,3,4,4]	1	0
soil	women	you have to get dirty to make it worth your while	[1,1,2,2,2,2,2,3,3,3,4,4,4,4]	1	0
hands	work	as a job	[1,1,1,1,3,3,3,3,3,3,5,5]	1	0
logic	logic	circular and like my logic	[1,1,2,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5]	0	0
oatmeal	women	thick	[1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5]	0	0
heart	dad	beating	[2,2,3,3,4,4,4,4,5,5,5]	0	1
women	TVs	60 inches wide and completely flat	[1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5]	0	0
lips	Coca Cola	Oh, how it pops and fizzes	[1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3]	0	0
shoes	socks	otherwise they don't fit and that would just be really embarassing	[1,1,1,2,2,4,4,5,5,5]	1	0
girls	ice-cream	melting in my tongue	[1,1,1,2,2,2,2,2,2,3,3,3,3,4]	0	0
porn	halloween costumes	slightly scary and with lots of tentacles	[1,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5]	0	0
men	bananas	immature and green	[2,2,2,2,3,3,3,3,4,5]	1	0
nuclear waste	ex mermaid girlfriend	dumped in the ocean	[1,1,2,2,2,2,3,3,3,4,4,4,4,4,5,5,5,5]	0	0
steak fries	pizza guy	bottomless	[1,1,1,1,1,1,2,2,4,4,4,4]	1	0
women	microwave	killing any baby I put inside her	[1,1,1,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5,5]	0	0
internet connections	seatbelts	secured	[1,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4]	0	0
celery	crackers	crunchy	[1,1,1,1,1,1,1,1,1,2,2,2,2,2,4]	0	0
women	flight attendants	willing to make me a member of the mile high club	[1,2,2,2,2,3,3,3,3,5,5]	1	0
base of my house	ideas	fundamental	[1,1,2,2,2,2,2,2,3,3,3,3,5]	1	0
condoms	asparagus	I don't like asparagus	[1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,5,5]	0	0
company	pox	widespread	[1,1,1,2,2,2,2,3,4,4]	1	0
women	roads	curvy	[2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5]	0	0
partners	threads	equal to the number of cores in my computer	[1,1,1,1,2,2,3,3,3,4,4,5]	1	0
Jews	new year celebration	countdown to zero	[1,1,2,2,3,4,4]	0	1
women	snake jaws	easily unhinged	[1,1,1,1,1,1,2,2,2,3,3,3,4,4,4]	1	0
people	cookie jars	hidden	[1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,5]	0	0
friends	jokes	transparent	[1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4]	0	0
I	like	I my like my I like my	[1,1,1,1,2,2,4,4,4,4,5,5,5,5]	1	0
peanut butter	women	super chunky	[1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4]	0	0
people	lamp shades	great to read with	[1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4]	0	0
men	roller skates	unstable	[1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5]	0	0
educational videos	slippers	they massively increase my vulnerability to fire ants	[1,1,1,1,2,2,3,3,3,3,4,4,4,4]	1	0
men	coffee	all over my crotch while driving	[1,2,2,2,3,3,3,4,4,4,4,4,4,5,5,5,5]	0	0
coffee	nothing	artisanal	[1,1,2,2,2,2,2,2,5,5]	1	0
coffee	men	boiling hot and poured down the front of me as I walk into a sliding glass door	[1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,4]	0	0
men	whiskey	strong and Scottish	[1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5]	0	0
coffee	women	white, weak and cries after sex	[1,1,1,1,1,1,1,2,2,2,2,2,2,3,4]	0	0
brother	phone	near me	[1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,5]	0	0
women	zombies	mindless, moaning and easily avoidable	[1,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5]	0	0
phones	women	thick and made in Asia	[1,2,2,2,3,3,3,3,3,3,3,3,4,4,5]	0	0
X	Y	substituted	[1,1,1,1,1,2,2,3,3,3,3,4,4,5,5]	0	0
boom boxes	books	in the library	[1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4]	0	0
sex	basketball	one-one-one and with little dribbling	[1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,5]	0	0
infomercials shows	bathroom 	mired in false enthusiasm	[1,1,1,2,2,2,3,3,3,3,3,3,4,4]	1	0
spiders	estate agents	dead	[1,1,2,2,2,3,3,3,3,3,4,4,4]	1	0
old people	flowers	in the graveyard	[1,1,2,2,3,3,3,4,4,4,4,4]	0	1
watch	sausage	with a face	[1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,5,5]	1	0
father	socks	gone	[1,1,2,2,2,3,3,3,3,4,4,5]	0	1
brother	Christians	turning the other cheek when I call him 'little bitch'	[1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,5,5]	0	0
men	apples	I'm allergic to apples	[1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4]	0	0
women	cooperatives	agricultural	[1,1,2,2,2,2,2,3,3,4]	1	0
prostate exams	police brutality	gratuitous	[1,1,1,1,1,1,2,2,2,2,2,3,3,4,4]	0	0
people	cheese	white and American	[1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,5,5]	0	0
coffee	relationships	easy to make and disposable	[2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,5]	0	0
sonic OC	precious diamonds	do not steal	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2]	1	0
tea bags	condoms	steeped in moisture	[1,1,1,2,3,3,3,3,3,3,3,4,5]	0	1
chess climaxes	Australian dinners	check, mate	[2,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5]	1	0
jokes	Germans	humourless	[1,2,2,2,2,2,2,2,2,2,3,3,4,4,4]	0	0
parties	hospitals	mental	[1,2,3,3,3,3,3,4,4,4,4,4,4,5,5]	0	0
women	washing machines	doing laundry	[1,1,1,1,1,2,2,2,2,3,3,4,4,4,5,5,5]	0	0
girlfriends	highways	federally funded	[1,1,2,2,2,3,3,3,3,3,4,5]	1	0
fantasy	casseroles	with a bit of everything mixed in	[1,1,2,2,2,2,2,2,2,2,2,3,3,3]	0	0
girlfriend	windows	10	[1,2,2,2,3,3,4,4,4,5]	1	0
Sir Mix A Lot	Abraham Lincoln	unable to tell a lie	[1,1,2,2,3,3,3,3,3,3,4,4,4,4]	1	0
men	coffee	out of a joyless sense of obligation	[2,2,2,2,2,2,3,3,3,4,4,4,4,4,5,5,5]	0	0
coffee	action movies	I get headaches without them	[1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,4,4]	0	0
women	elevators	going down	[2,2,2,3,3,4,4,4,4,4,4,4,5,5]	0	1
women	Oscar Pistorius	absolutely legless	[2,2,2,2,3,3,3,3,3,3,4,4]	1	0
coffee	war	cold	[1,1,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4]	0	0
liquor	men	dark	[1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5]	0	0
left	boiled eggs	soft	[1,1,1,1,2,2,2,2,2,2,2,2]	1	0
women	educational videos	from the 50's and filled with herpes warnings	[1,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5]	0	0
women	flowers	artificial	[1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,5]	0	0
men	parliaments	hung	[2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,5,5]	1	0
mouse	computer	grey	[1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,4]	0	0
drinks	men	strong, sweet and under an umbrella	[1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5]	0	0
liquor	police officers	on the street	[1,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,5]	0	0
sex	tinderboxes	lit	[1,1,1,2,2,3,3,3,3,3,4,4,5]	0	1
women	pizza	hot and ready for $5	[2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,5,5,5]	0	0
coffee beans	immigration	approved on a case by case basis.	[1,1,1,2,2,3,3,3,3,3,4,4,4,5]	0	0
trees	women	you can tell the age by counting the number of rings	[1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5]	0	0
Algorithms	Soup	Bug-free	[1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,4,5,5]	0	0
climate	parties	political	[1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,4,5]	0	0
humping	martinis	dry	[1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5]	0	0
coffee	sense of humor	dark and scalding	[1,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,4,5]	0	0
partners	gas stations	unoccupied at midnight	[1,1,1,2,3,3,3,3,3,3,3,3,3,4,4,4,5,5]	0	0
girls	decisions	conscious	[1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5]	0	0
sex	sushi	raw	[1,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5]	0	0
coffee	metal moulders	polished	[1,1,1,1,2,2,2,2,2,2,2,2]	1	0
lovers	soldiers	well-trained and slow to shoot	[3,3,3,4,4]	1	0
women	milk	rich, white and with 2% fat	[1,1,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5]	0	0
liquor	security guards	lethal	[1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5,5]	0	0
